id,longitude,latitude,lsoa_location,police_force,date,severity,vehicles,casualties,road_type,speed_limit,weather,road_conditions,human_crossing
12465,-3.77969,51.596268,W01000950,62,2018-12-19,3,2,1,6,30,1,0,0
12466,-3.441601,51.712255,W01001150,62,2018-12-20,3,1,1,6,30,2,0,0
12467,-3.218741,51.495098,W01001781,62,2018-12-03,3,1,1,6,30,5,0,0
12468,-3.810933,51.623469,W01000891,62,2018-12-23,2,2,1,6,30,1,0,0
12469,-3.406354,51.610453,W01001229,62,2018-11-20,3,1,1,2,30,1,0,0
12470,-3.697148,51.489293,W01001044,62,2018-12-19,3,2,5,1,30,2,0,0
12471,-3.229268,51.488577,W01001782,62,2018-12-18,3,2,1,6,30,1,1,0
12472,-3.292087,51.51369,W01001729,62,2018-12-19,3,3,1,3,70,2,0,0
12473,-3.565329,51.54804,W01000986,62,2018-12-14,3,2,1,6,30,2,0,0
12474,-3.935908,51.646357,W01000788,62,2018-12-20,3,2,1,3,30,1,0,0
12475,-3.207285,51.488427,W01001781,62,2018-12-20,3,3,3,6,30,2,0,0
12476,-3.943899,51.666899,W01000817,62,2018-12-21,3,3,2,6,30,2,0,0
12477,-3.199732,51.472859,W01001711,62,2018-12-21,3,1,1,6,30,1,0,0
12478,-3.376191,51.673126,W01001212,62,2018-12-21,3,2,1,6,30,1,0,0
12479,-3.373843,51.652418,W01001283,62,2018-12-24,3,1,1,6,50,1,0,0
12480,-3.125537,51.504401,W01001863,62,2018-12-22,3,1,1,6,30,1,0,0
12481,-3.587716,51.528189,W01001041,62,2018-12-02,3,1,1,6,40,2,0,0
12482,-3.87967,51.620248,W01000917,62,2018-12-26,3,1,1,3,40,1,0,1
12483,-3.268589,51.408064,W01001063,62,2018-12-24,3,2,1,6,30,1,0,0
12484,-3.261723,51.40152,W01001073,62,2018-12-27,3,2,1,1,40,1,0,0
12485,-3.205969,51.5095,W01001890,62,2018-12-28,3,1,1,6,30,2,0,0
12486,-3.798321,51.652726,W01000942,62,2018-12-26,2,1,1,6,20,2,0,0
12487,-3.18305,51.426854,W01001115,62,2018-12-06,3,1,2,6,30,1,0,0
12488,-3.23279,51.483495,W01001746,62,2018-12-29,3,3,1,6,30,1,0,0
12489,-3.581785,51.508477,W01001028,62,2018-12-30,3,1,1,1,30,2,0,0
12490,-3.5587,51.53383,W01000987,62,2018-12-29,3,2,1,3,70,2,0,0
12491,-3.336058,51.685863,W01001302,62,2018-12-31,3,1,1,6,30,1,0,0
12492,-3.357747,51.63668,W01001282,62,2018-12-31,2,1,1,6,30,1,0,0
12493,-3.923907,51.66641,W01000812,62,2018-10-18,3,1,1,6,30,1,0,0
12494,-3.543985,51.600455,W01001033,62,2018-12-28,1,1,1,6,30,1,0,0
12495,-3.957385,51.649652,W01000833,62,2018-12-29,3,2,1,6,30,7,0,0
12496,-3.357511,51.763215,W01001298,62,2018-11-05,3,2,1,6,30,9,0,0
12497,-4.0013,51.581008,W01000880,62,2018-10-24,3,2,1,6,30,1,0,0
12498,-3.251143,51.473148,W01001708,62,2018-12-20,3,1,1,6,30,1,0,0
12499,-3.660046,51.639583,W01000991,62,2018-11-24,2,1,1,6,30,1,0,0
12500,-3.200814,51.478989,W01001857,62,2018-12-23,3,2,2,3,30,1,0,0
12501,-3.378738,51.682232,W01001208,62,2018-11-09,3,1,1,2,30,5,0,0
12502,-3.376744,51.683262,W01001205,62,2018-12-05,3,2,1,6,30,1,0,0
12503,-4.127123,51.575755,W01000776,62,2018-10-21,3,1,2,6,30,1,0,0
12504,-3.243498,51.523963,W01001895,62,2018-11-30,3,1,1,6,30,8,0,0
12505,-3.200837,51.481507,W01001861,62,2018-11-19,3,2,1,6,30,9,0,0
12506,-3.703474,51.512951,W01001000,62,2018-11-09,3,2,2,3,30,2,0,0
12507,-3.388983,51.401106,W01001119,62,2018-12-23,3,1,1,6,50,1,0,0
12508,-3.114616,51.515062,W01001886,62,2018-11-27,3,2,1,6,30,2,0,0
12509,-3.197385,51.504751,W01001757,62,2018-12-21,3,2,1,1,20,2,0,0
12510,-3.653004,51.531703,W01000996,62,2018-12-15,3,2,3,6,30,5,0,0
12511,-3.930116,51.678744,W01000808,62,2018-12-17,3,2,1,6,30,1,0,0
12512,-3.542304,51.61437,W01001034,62,2018-12-17,3,2,1,6,30,5,0,0
12513,-3.178498,51.43555,W01001130,62,2018-11-07,3,1,1,3,30,1,0,0
12514,-3.370485,51.743274,W01001317,62,2018-11-02,3,2,1,6,30,1,0,0
