id,longitude,latitude,lsoa_location,police_force,date,severity,vehicles,casualties,road_type,speed_limit,weather,road_conditions,human_crossing,geom
115,-4.246172,53.192156,W01000027,60,2016-02-06,3,1,1,6,60,5,5,0,0101000020346C0000EB01E2F382850E4164C09BFE6B7D1641
116,-2.984246,53.039319,W01000382,60,2016-02-05,2,1,1,6,30,2,0,0,0101000020346C000078BB1B6C5C641441D34B484605561541
117,-3.049909,53.216203,W01000283,60,2016-02-06,3,2,2,6,30,1,0,0,0101000020346C0000E10A48351424144152F2FE09738A1641
118,-2.967539,53.03586,W01000423,60,2016-02-07,3,1,1,6,30,1,0,0,0101000020346C0000E89D6860C8751441ECF48922C54F1541
119,-3.885079,53.051774,W01000121,60,2016-02-08,3,1,1,6,30,5,0,0,0101000020346C00009055DC743BB5104152272D4B8E7E1541
120,-3.993747,53.249594,W01000123,60,2016-02-08,3,2,2,3,70,5,4,0,0101000020346C00003F7C0033034D104129356E1070D91641
121,-3.271568,53.281654,W01000340,60,2016-02-08,3,2,1,6,50,5,0,0,0101000020346C0000002E7027D73E1341F3355C8FF7FF1641
122,-3.069445,53.187011,W01000286,60,2016-02-08,3,2,2,6,30,2,0,0,0101000020346C00001630220DF00E144118E8DAB002581641
123,-2.733159,52.965547,W01000346,60,2016-02-08,3,2,1,6,60,5,5,0,0101000020346C0000FBDC779D196A15419635B12DA4D21441
124,-3.366,53.33791,W01000298,60,2016-02-08,2,2,1,6,30,2,0,0,0101000020346C000036FCE1D956DE12414BE31F7390631741
125,-2.989978,53.101344,W01000390,60,2016-10-19,3,2,2,6,60,1,0,0,0101000020346C00001858DB76D85F14419491D586E9C11541
126,-3.018905,53.044223,W01000349,60,2016-02-09,3,2,3,6,30,1,0,0,0101000020346C0000452C9C192C401441B669F1420D5F1541
127,-4.26108,53.135221,W01000098,60,2016-02-09,2,1,1,6,30,5,0,0,0101000020346C000005367A1723600E4113957C68F71A1641
128,-3.8192,53.317188,W01000186,60,2016-02-09,3,2,1,1,30,1,0,0,0101000020346C0000BF409616F40511411D7D1BB6104A1741
129,-3.484676,53.312579,W01000236,60,2016-02-09,3,2,2,6,30,1,0,0,0101000020346C000022AE6C18F6611241810BA615003A1741
130,-3.067792,52.978636,W01000355,60,2016-02-09,3,2,1,6,30,1,0,0,0101000020346C0000F5B469D8430B1441EB6BE984CCED1441
131,-3.473845,53.287497,W01000225,60,2016-02-10,3,2,2,1,40,1,0,0,0101000020346C0000CEDE7515566C1241344B74CC2B0E1741
132,-3.141667,53.166554,W01000314,60,2016-02-10,3,1,1,6,30,1,0,0,0101000020346C00005DDA9ABDF7C21341701F3F449E351641
133,-3.89416,53.283269,W01000125,60,2016-02-10,2,2,2,3,70,1,0,0,0101000020346C0000A42905AD5FB61041F620A04B24111741
134,-3.042798,53.136735,W01000326,60,2016-02-11,3,2,1,6,60,1,0,0,0101000020346C00004C4EB3267C291441DFCE612736001641
135,-3.042906,53.189332,W01000251,60,2016-02-11,3,2,1,6,30,1,0,0,0101000020346C0000F92E6553B42A14413A396DC1A25B1641
136,-3.45231,53.260289,W01000246,60,2016-02-11,3,2,1,6,30,1,0,0,0101000020346C0000CF8FC414CE8112410B62F1BB6BDE1641
137,-3.85924,53.216976,W01000124,60,2016-02-12,3,2,1,6,60,1,0,0,0101000020346C0000EF817DC0BFD71041BE9447C7F79C1641
138,-3.739212,53.306532,W01000155,60,2016-02-11,3,2,2,6,30,1,0,0,0101000020346C000002F432B9C0581141D1B3376478351741
