"id","geom","school_cod","sch_name","lea_name_e","school_ty0","gender_mix","school_lan","status_nam","address_1","address_2","address_3","postcode","full_detai"
22,"0101000020346C0000858D3CDAC4241141377D61126F0A1641","6624035","Ysgol Dyffryn Conwy","Conwy","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type B)","Open","Nebo Road","Llanrwst","null","LL26 0SD","http://mylocalschool.wales.gov.uk/School/6624035"
23,"0101000020346C000092F196BFB32F1141631ACCA53A3F1741","6624038","Ysgol Y Creuddyn","Conwy","Uwchradd (ystod oedran 11-19)","Mixed","Welsh medium","Open","Ffordd Dderwen","Bae Penrhyn","Llandudno","LL30 3LB","http://mylocalschool.wales.gov.uk/School/6624038"
24,"0101000020346C0000E74987F44D0012411A4A29D2B60C1741","6625400","Ysgol Emrys Ap Iwan","Conwy","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Faenol Avenue","Abergele","Conwy","LL22 7HE","http://mylocalschool.wales.gov.uk/School/6625400"
25,"0101000020346C000004EDFF39CE6E1141321B473DDC191741","6625402","Eirias High School","Conwy","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Eirias Road","Colwyn Bay",NULL,"LL29 7SP","http://mylocalschool.wales.gov.uk/School/6625402"
26,"0101000020346C0000E8D0CA645E7B114187C6E99788101741","6625403","Ysgol Bryn Elian","Conwy","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Windsor Drive","Colwyn Bay","Conwy","LL29 8HU","http://mylocalschool.wales.gov.uk/School/6625403"
27,"0101000020346C0000D9439E2D676F12411B8E88534C481741","6634003","Rhyl High School","Denbighshire","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Grange Road","Rhyl","Denbighshire","LL18 4BY","http://mylocalschool.wales.gov.uk/School/6634003"
28,"0101000020346C00001601B65678B312414B0CF092A5501741","6634014","Prestatyn High School","Denbighshire","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","2 Princes Avenue","Prestatyn","Denbighshire","LL19 8RS","http://mylocalschool.wales.gov.uk/School/6634014"
29,"0101000020346C00005A3FF9F560901241BC81B54E13D51641","6634020","Ysgol Uwchradd Glan Clwyd","Denbighshire","Uwchradd (ystod oedran 11-19)","Mixed","Welsh medium","Open","Ffordd Dinbych","Llanelwy","Sir Ddinbych","LL17 0RP","http://mylocalschool.wales.gov.uk/School/6634020"
30,"0101000020346C000088451E7C74AD12410447EA857F5B1641","6634026","Denbigh High School","Denbighshire","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Ruthin Road","Denbigh","Denbighshire","LL16 3EX","http://mylocalschool.wales.gov.uk/School/6634026"
31,"0101000020346C0000EC6E3D0B6A9F13417287614449E51441","6634027","Ysgol Dinas Bran","Denbighshire","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type B)","Open","Dinbren Road","Llangollen","Denbighshire","LL20 8TG","http://mylocalschool.wales.gov.uk/School/6634027"
32,"0101000020346C00001B4121BE6D1E13415E8873511BDE1541","6634031","Ysgol Brynhyfryd","Denbighshire","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type B)","Open","Mold Road","Ruthin","Denbighshire","LL15 1EG","http://mylocalschool.wales.gov.uk/School/6634031"
33,"0101000020346C0000D67A03D454691241F56F3C78233D1741","6634601","Blessed Edward Jones High School","Denbighshire","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Due to close","Cefndy Road","Rhyl","Denbighshire","LL18 2EU","http://mylocalschool.wales.gov.uk/School/6634601"
34,"0101000020346C0000937553C7082C14413E78C415215A1641","6644000","Hawarden High School","Flintshire","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","The Highway","Hawarden","Deeside","CH5 3DJ","http://mylocalschool.wales.gov.uk/School/6644000"
35,"0101000020346C0000CF96DF34BEC31341F0BE510A112C1641","6644006","Alun School","Flintshire","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Wrexham Road","Mold","Flintshire","CH7 1EP","http://mylocalschool.wales.gov.uk/School/6644006"
36,"0101000020346C0000F40D097F400014414C857075F43D1641","6644011","Elfed High School","Flintshire","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Mill Lane","Buckley","Flintshire","CH7 3HQ","http://mylocalschool.wales.gov.uk/School/6644011"
37,"0101000020346C0000F842E9A7757913412BD56DD1E7F31641","6644012","Ysgol Treffynnon","Flintshire","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","The Strand","Holywell","Flintshire","CH8 7AW","http://mylocalschool.wales.gov.uk/School/6644012"
38,"0101000020346C00002754F1A2C79614412C8726D53B451641","6644013","St. David's High School","Flintshire","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","St David's Terrace","Saltney","Chester","CH4 0AE","http://mylocalschool.wales.gov.uk/School/6644013"
39,"0101000020346C00001C1FB8665E3014412803C500E9E01541","6644017","Castell Alun High School","Flintshire","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Fagl Lane","Hope","Flintshire","LL12 9PY","http://mylocalschool.wales.gov.uk/School/6644017"
40,"0101000020346C000092B1BB6029C4134149D8E09C132E1641","6644018","Maes Garmon","Flintshire","Uwchradd (ystod oedran 11-19)","Mixed","Welsh medium","Open","Stryd Conwy","Yr Wyddgrug","Sir Y Fflint","CH7 1JB","http://mylocalschool.wales.gov.uk/School/6644018"
41,"0101000020346C0000E7F229A7C33714415F5EC8D5D5781641","6644019","John Summers High School","Flintshire","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Closed","Chester Road West","Queensferry","Deeside","CH5 1SE","http://mylocalschool.wales.gov.uk/School/6644019"
42,"0101000020346C00007CB15EF62ECA134100643D49C3B31641","6644021","Flint High School","Flintshire","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Maes Hyfryd","Flintshire",NULL,"CH6 5LL","http://mylocalschool.wales.gov.uk/School/6644021"
43,"0101000020346C0000FBD7B2CC24061441906F416EB4961641","6644022","Connah's Quay High School,","Flintshire","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Golftyn Lane","Connah's Quay","Flintshire","CH5 4BH","http://mylocalschool.wales.gov.uk/School/6644022"
44,"0101000020346C0000C006C95A8FEA13414FBEB09DFF401641","6644042","Argoed High School","Flintshire","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Bryn Road","Bryn Y Baal","Nr Mold","CH7 6RY","http://mylocalschool.wales.gov.uk/School/6644042"
45,"0101000020346C0000B8C618F48CD31341A6307DB27BB61641","6644600","St. Richard Gwyn Catholic High School","Flintshire","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Albert Avenue","Flint","null","CH6 5JZ","http://mylocalschool.wales.gov.uk/School/6644600"
46,"0101000020346C00009960B8749618144168EF67438D2D1541","6654029","Grango","Wrexham","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Vinegar Hill","Rhos","Wrexham","LL14 1EL","http://mylocalschool.wales.gov.uk/School/6654029"
47,"0101000020346C00003026411DF77314410078E15AF9691541","6654032","Ysgol Morgan Llwyd","Wrexham","Uwchradd (ystod oedran 11-19)","Mixed","Welsh medium","Open","Ffordd Cefn","Wrecsam",NULL,"LL13 9NG","http://mylocalschool.wales.gov.uk/School/6654032"
48,"0101000020346C0000CF6965D87E3B1441B08D5303B1941541","6654033","Ysgol Bryn Alyn","Wrexham","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Church Street","Gwersyllt","Wrexham","LL11 4HB","http://mylocalschool.wales.gov.uk/School/6654033"
49,"0101000020346C0000C2A9D8EED79614418A9B2B39ADD51541","6654034","Darland High School","Wrexham","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Chester Road","Rossett","Wrexham","LL12 0DL","http://mylocalschool.wales.gov.uk/School/6654034"
50,"0101000020346C00009AFE9193FF1F144159CE16D7D5FE1441","6654044","Ysgol Rhiwabon","Wrexham","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Ruabon","Wrexham",NULL,"LL14 6BT","http://mylocalschool.wales.gov.uk/School/6654044"
51,"0101000020346C0000BD1747EE01701441FE0D440D0D711541","6654048","Rhosnesni High School","Wrexham","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Rhosnesni Lane","Wrexham",NULL,"LL13 9ET","http://mylocalschool.wales.gov.uk/School/6654048"
52,"0101000020346C0000284EEA070448144168B7E758F85C1541","6654049","Ysgol Clywedog","Wrexham","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Ruthin Road","Wrexham","null","LL13 7UB","http://mylocalschool.wales.gov.uk/School/6654049"
53,"0101000020346C0000137E92D436571441303A7EC8A5531541","6654603","St Joseph's Catholic And Anglican High","Wrexham","Uwchradd (ystod oedran 11-16)","Mixed","English medium","Open","Sontley Road","Wrexham",NULL,"LL13 7EN","http://mylocalschool.wales.gov.uk/School/6654603"
54,"0101000020346C0000A0E6791EACDB1441311F86DA48BE1441","6655401","The Maelor School","Wrexham","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Penley","Wrexham",NULL,"LL13 0LU","http://mylocalschool.wales.gov.uk/School/6655401"
55,"0101000020346C0000EE6C949DFAEE124158D3521FF7B61241","6664000","Ysgol Uwchradd Caereinion High School","Powys","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type B)","Open","Llanfair Caereinion","Welshpool","Powys","SY21 0HW","http://mylocalschool.wales.gov.uk/School/6664000"
56,"0101000020346C0000A624B77C152F134121F927576D7B1341","6664001","Llanfyllin High School","Powys","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type C)","Open","Llanfyllin","Powys",NULL,"SY22 5BJ","http://mylocalschool.wales.gov.uk/School/6664001"
57,"0101000020346C0000B0F682BB7C0212412943923E66521141","6664002","Llanidloes High School","Powys","Uwchradd (ystod oedran 11-19)","Mixed","English with significant Welsh","Open","Llanidloes","Powys",NULL,"SY18 6EX","http://mylocalschool.wales.gov.uk/School/6664002"
